Ligne;Voy.;Début;Fin;De;À;Js srv
C109b;1;07:03;07:23;TUBPO;LBGAR;12345
C0119;1;07:03;07:58;ANJON;BMIND;12345
C0173;1;06:03;06:40;FOMET;CEN05;12345
C0194;1;06:52;08:00;THVB1;THAT2;12345
C0091;1;05:30;05:57;ANJON;CPCEC;12345
C00M1;1;04:41;05:13;MB009;MB101;12345
CM1ab;1;19:40;20:17;ANMON;CEN19;12345
C109b;2;07:29;07:49;LBGAR;TUBPO;12345
C0173;2;06:54;07:48;CEN07;PTSNC;12345
C0194;2;09:13;09:48;THVB1;THVB1;****5
C0091;2;05:55;06:26;ANJON;MYVES;12345
C00M1;2;05:17;05:53;MB010;MB008;12345
CM1ab;2;20:30;21:07;CEN07;ANMON;12345
C109b;3;07:50;08:10;TUBPO;LBGAR;12345
C0119;3;07:01;07:56;ANJON;BMIND;12345
C0173;3;06:40;07:36;PTSNC;CEN05;12345
C0091;3;05:14;06:12;MYVES;PTPLA;12345
C00M1;3;05:14;05:46;MB009;MB101;12345
CM1ab;3;20:20;20:57;ANMON;CEN19;12345
C109b;4;09:09;09:29;LBGAR;TUBPO;12345
C0173;4;07:45;08:15;MMPLA;FORPE;12345
C0194;4;11:13;11:48;THVB1;THVB1;****5
C0063;4;07:28;08:05;GPCHE;FOMET;12345
C0091;4;05:55;06:39;ANJON;MYVES;12345
C00M1;4;05:47;06:23;MB010;MB008;12345
CM1ab;4;21:15;21:52;CEN07;ANMON;12345
C109b;5;09:37;09:57;TUBPO;LBGAR;12345
C0173;5;07:40;08:40;PTSNC;CEN05;12345
C0194;5;16:11;17:02;THVB1;BCEGL;12*45
C0091;5;05:44;06:54;MYVES;CPCEC;12345
C00M2;5;05:29;06:08;MB009;MB013;12345
CM1ab;5;21:20;21:57;ANMON;CEN19;12345
C109b;6;12:09;12:29;LBGAR;TUBPO;12345
C0173;6;07:54;08:50;CEN07;PTSNC;12345
C0091;6;06:00;07:11;CPCEC;MYVES;12345
C00M1;6;06:17;06:53;MB010;MB008;12345
CM1ab;6;22:15;22:52;CEN07;ANMON;12345
C109b;7;12:37;12:57;TUBPO;LBGAR;12345
C0173;7;08:43;09:40;PTSNC;CEN05;12345
C0091;7;06:14;07:13;MYVES;PTPLA;12345
C00M1;7;05:44;06:16;MB009;MB101;12345
C109b;8;15:14;15:57;LBGAR;BMIND;12*45
C0119;8;17:04;17:38;BMIND;BCTIL;12*45
C0173;8;08:54;09:48;CEN07;PTSNC;12345
C0091;8;06:40;07:43;PTPLA;MYVES;12345
C00M1;8;06:47;07:23;MB010;MB008;12345
C109b;9;13:20;13:40;TUBPO;LBGAR;12345
C0173;9;09:44;10:40;PTSNC;CEN05;12345
C0091;9;06:40;07:56;MYVES;CPCEC;12345
C00M2;9;05:59;06:38;MB009;MB013;12345
C109b;10;16:09;16:52;LBGAR;BMIND;12345
C0173;10;09:54;10:48;CEN07;PTSNC;12345
C0091;10;07:34;08:02;ANJON;THHTT;12345
C00M1;10;07:17;07:53;MB010;MB008;12345
C109b;11;17:10;17:40;BMIND;LBGAR;12*45
C0173;11;10:46;11:40;PTSNC;CEN05;12345
C0063;11;06:53;07:53;FOMET;JUMA1;12345
C0091;11;07:05;08:14;MYVES;PTPLA;12345
C099b;11;16:13;17:10;BMIND;NADEP;12*45
C00M1;11;06:14;06:46;MB009;MB101;12345
C0173;12;10:54;11:48;CEN07;PTSNC;12345
C0091;12;06:58;08:20;CPCEC;MYVES;12345
C00M1;12;07:47;08:23;MB010;MB008;12345
C0119;13;16:12;17:24;BMIND;ANJON;12*45
C0173;13;11:46;12:40;PTSNC;CEN05;12345
C0063;13;06:54;07:46;FOMET;JUMA1;12345
C0091;13;07:31;08:56;MYVES;CPCEC;12345
C00M2;13;06:29;07:08;MB009;MB013;12345
C0173;14;11:54;12:48;CEN07;PTSNC;12345
C0091;14;07:23;07:59;ANJON;THHTT;12345
C00M1;14;08:17;08:53;MB010;MB008;12345
C0173;15;12:46;13:40;PTSNC;CEN05;12345
C0091;15;08:04;08:37;THHTT;ANJON;12345
C00M1;15;06:44;07:16;MB009;MB101;12345
C0173;16;12:54;13:48;CEN07;PTSNC;12345
C0091;16;07:38;08:45;PTPLA;MYVES;12345
C00M1;16;08:47;09:23;MB010;MB008;12345
C0173;17;13:46;14:40;PTSNC;CEN05;12345
C0091;17;08:17;09:17;MYVES;ANMON;12345
C00M2;17;06:59;07:38;MB009;MB013;12345
C0173;18;13:54;14:48;CEN07;PTSNC;12345
C0063;18;07:45;08:39;JUMA2;FOMET;12345
C0091;18;07:58;09:16;CPCEC;MYVES;12345
C00M1;18;09:17;09:53;MB010;MB008;12345
C0173;19;14:46;15:40;PTSNC;CEN05;12345
C0091;19;08:33;09:44;MYVES;PTPLA;12345
C00M1;19;07:14;07:46;MB009;MB101;12345
C0173;20;14:54;15:51;CEN07;PTSNC;12345
C0091;20;08:54;09:13;ANJON;THVB1;****5
C00M1;20;09:47;10:23;MB010;MB008;12345
C0173;21;15:55;16:50;PTSNC;CEN05;12345
C0091;21;09:48;09:59;THVB1;LBBO2;****5
C00M2;21;07:29;08:08;MB009;MB013;12345
C0173;22;16:07;17:06;CEN07;PTSNC;12345
C0063;22;08:45;09:36;JUMA2;FOMET;12345
C0091;22;08:58;10:13;CPCEC;MYVES;12345
C00M1;22;10:17;10:53;MB010;MB008;12345
